fcst_sys_id  stn_id  loc_id  stat_method_id  elem_id  run_date   lead_time  prdn_value
-1           1704    633     10              6        2461124.5   0.0         258.4452
-1           1704    633     10              7        2461124.5   0.0         255.0544
-1           1704    633     10              6        2461124.5   1.0         270.5056
-1           1704    633     10              6        2461124.5   2.0         332.0000
-1           1704    633     10              7        2461124.5   2.0         253.5465
-1           1704    633     10              7        2461124.5   3.0         NA
-1           1704    633     10              6        2461124.5   6.0         265.2062
-1           1704    633     10              7        2461124.5   6.0         250.9454
-1           1704    633     10              6        2461124.5   7.0         271.3954
-1           1704    633     10              7        2461124.5   7.0         249.2465
-1           1704    633     10              6        2461124.5   8.0         272.4108
-1           1704    633     10              7        2461124.5   8.0         248.5465
-1           1704    633     10              6        2461124.5   9.0         271.1276
-1           1704    633     10              7        2461124.5   9.0         NA
-1           1704    633     10              6        2461124.5   10.0        269.2513
-1           1704    633     10              7        2461124.5   10.0        247.1655
-1           1704    633     10              6        2461124.5   11.0        268.0485
-1           1704    633     10              7        2461124.5   11.0        246.5655
-1           1704    633     10              6        2461124.5   12.0        NA
-1           1704    633     10              7        2461124.5   12.0        246.0655
